arquivo,nome,foco,aderencia_esperada,modelo,cargo_alvo,cidade,email,empresa_principal,paginas_estimadas
curriculo_01_marcos-vinicius-almeida_backend_media_ats.pdf,Marcos Vinícius Almeida,backend,media,ats,Desenvolvimento Backend Júnior,Salvador - BA,marcos.vinicius.almeida1@outlook.com,Itaú Unibanco,2
curriculo_02_carla-menezes-reis_backend_baixa_lateral.pdf,Carla Menezes Reis,backend,baixa,lateral,Analista de Sistemas em transição para Backend,Feira de Santana - BA,carla.menezes.reis2@hotmail.com,Magazine Luiza,2
curriculo_03_rafael-souza-brito_backend_alta_moderno.pdf,Rafael Souza Brito,backend,alta,moderno,Desenvolvedor Backend Java Júnior,Vitória da Conquista - BA,rafael.souza.brito3@gmail.com,PagBank,2
curriculo_04_patricia-lima-correia_backend_media_academico.pdf,Patrícia Lima Correia,backend,media,acadêmico,Desenvolvimento Backend Júnior,Aracaju - SE,patricia.lima.correia4@outlook.com,Globo,2
curriculo_05_diego-andrade-nunes_backend_baixa_compacto.pdf,Diego Andrade Nunes,backend,baixa,compacto,Analista de Sistemas em transição para Backend,Recife - PE,diego.andrade.nunes5@hotmail.com,Accenture,2
curriculo_06_bianca-torres-araujo_backend_alta_ats.pdf,Bianca Torres Araújo,backend,alta,ats,Desenvolvedor Backend Java Júnior,Lauro de Freitas - BA,bianca.torres.araujo6@gmail.com,Locaweb,2
curriculo_07_henrique-moura-lopes_backend_media_lateral.pdf,Henrique Moura Lopes,backend,media,lateral,Desenvolvimento Backend Júnior,Maceió - AL,henrique.moura.lopes7@outlook.com,Bradesco,2
curriculo_08_natalia-gomes-pires_backend_baixa_moderno.pdf,Natália Gomes Pires,backend,baixa,moderno,Analista de Sistemas em transição para Backend,João Pessoa - PB,natalia.gomes.pires8@hotmail.com,C6 Bank,2
curriculo_09_igor-santana-rocha_backend_alta_academico.pdf,Igor Santana Rocha,backend,alta,acadêmico,Desenvolvedor Backend Java Júnior,Ilhéus - BA,igor.santana.rocha9@gmail.com,RD Station,2
curriculo_10_vanessa-sampaio-duarte_backend_media_compacto.pdf,Vanessa Sampaio Duarte,backend,media,compacto,Desenvolvimento Backend Júnior,Fortaleza - CE,vanessa.sampaio.duarte10@outlook.com,Thoughtworks,2
curriculo_11_lucas-matos-farias_backend_baixa_ats.pdf,Lucas Matos Farias,backend,baixa,ats,Analista de Sistemas em transição para Backend,Camaçari - BA,lucas.matos.farias11@hotmail.com,Oracle Brasil,2
curriculo_12_renata-oliveira-prado_backend_alta_lateral.pdf,Renata Oliveira Prado,backend,alta,lateral,Desenvolvedor Backend Java Júnior,Natal - RN,renata.oliveira.prado12@gmail.com,Google Cloud Brasil,2
curriculo_13_samuel-teixeira-campos_backend_media_moderno.pdf,Samuel Teixeira Campos,backend,media,moderno,Desenvolvimento Backend Júnior,Petrolina - PE,samuel.teixeira.campos13@outlook.com,Meta IT,2
